adt,ugos,vgos,sla,ugosa,vgosa,radius,radius_glob
0.7772,0.1923,0.4309,0.077,0.151,0.3412,0.6232,0.4921999999999999
0.283,0.2895,-3.4026,-0.4194,0.2355,-3.4931,3.6921,3.7286
0.4268,3.1243000000000003,3.8693,-0.1117,2.3219000000000003,4.2329,6.993600000000001,6.5548
0.4918,-1.3329,-3.2696,-0.0635,-2.3477,-2.9945,4.6025,5.3422
0.7066,-0.5088,0.2078,0.0055,-0.5112,0.0811,0.7166,0.5923
0.2049,-1.5711000000000002,-1.9134,-0.477,-1.9351,-1.7719,3.4845,3.707
0.7713,2.9713000000000003,4.2384,0.2477,2.1067,4.343,7.209700000000001,6.4497
0.7016,2.3761,-2.5126,0.2124,1.9399,-2.3091,4.8887,4.249
0.7527,0.1675,0.4372,0.0506,0.1651,0.2469,0.6047,0.412
0.3915,-0.9636,-5.0934,-0.1162,-1.5727,-4.6773,6.057,6.25
0.086,0.2026,0.6328,-0.0738,0.1405,-0.032,0.8354,0.1725
0.6508,-1.1254,-3.6592,0.1273,-1.99,-3.5546,4.784599999999999,5.5446
0.338,0.9495,-5.1098,-0.1997,0.3734,-4.8162,6.0593,5.1896
0.5601,1.0219,4.8476,0.0392,0.2456,4.8959,5.8695,5.1415
0.4627,2.9049,-4.1503000000000005,-0.0857,1.8757,-3.9885,7.055200000000001,5.8642
0.5800000000000001,-0.2089,-0.4225,-0.1222,-0.2114,-0.6128,0.6314,0.8242
0.4745,-4.2617,-0.929,-0.0392,-4.7739,-0.6389,5.1907000000000005,5.412800000000001
0.6228,1.1904,4.3721000000000005,0.0743,0.1611,4.5339,5.5625,4.695
0.7173,-0.3726,-0.241,0.0172,-0.4139,-0.3306,0.6135999999999999,0.7444999999999999
0.4038,3.5807,3.6559,-0.176,2.4713000000000003,3.8969,7.2366,6.3682
0.4679,-0.5812,2.76,-0.0555,-1.2541,3.1546000000000003,3.3412,4.4087000000000005
-0.245,-0.0402,-0.6596000000000001,-0.3388,-0.0027,-0.7056,0.6998000000000001,0.7083
-0.1997,-0.5368,0.0885,-0.1314,-0.5333,0.0491,0.6253000000000001,0.5824
0.3476,-0.3304,-4.8243,-0.1837,-0.8454,-4.4417,5.1547,5.2871
0.0139,0.5688,0.0728,0.1251,0.5971000000000001,0.056,0.6416,0.6531000000000001
-0.1008,-0.0307,0.7358,-0.036,-0.0281,0.7148,0.7665,0.7429
0.4879,2.0615,3.8446,-0.0059,1.4984000000000002,3.9418,5.9061,5.440200000000001
0.4405,-2.1393,-4.0358,-0.1848,-3.1608,-3.7267,6.1751000000000005,6.8875
0.3341,-0.4665,0.3699,0.1716,-0.0111,0.0156,0.8364,0.0267
0.6538,0.022,0.8274,-0.0484,0.0199,0.6697000000000001,0.8494,0.6896000000000001
0.7622,0.5908,4.2107,0.2333,-0.2693,4.444,4.8015,4.7133
