Longevity
31
7
7
375
5
80
9
94
20
3
145
8
56
8
8
6
37
58
3
26
53
2
5
9
8
29
92
40
5
4
3
3
69
1
2
10
11
76
1
135
14
268
159
21
68
13
1
1
266
37
221
77
1
183
4
47
15
67
25
9
277
9
4
9
109
33
7
2
4
101
3
671
20
53
6
474
19
84
4
94
1
5
67
268
9
6
661
58
4
10
237
216
86
71
104
140
23
54
2
1
42
1
1
5
347
5
5
35
9
3
166
19
1
178
2
77
4
671
3
190
54
6
671
1
13
7
114
23
20
45
114
6
35
3
6
15
104
5
6
74
6
28
71
13
14
5
8
67
8
37
15
2
14
2
54
4
6
13
5
2
37
3
57
2
8
538
3
90
34
1
101
362
8
5
71
5
5
10
322
8
8
89
671
5
1
574
8
554
1
47
1
668
3
8
128
1
2
6
1
5
5
6
1
3
4
3
11
147
178
3
3
20
5
146
19
15
4
1
6
48
116
47
81
5
29
5
8
6
69
6
2
148
18
5
87
10
59
63
4
1
1
94
1
2
136
78
6
1
1
54
8
112
4
31
9
6
85
1
1
56
92
3
10
1
9
5
2
208
98
85
63
1
9
8
9
15
8
16
1
4
274
5
5
273
1
8
57
95
8
57
5
4
24
38
5
40
571
97
4
283
55
217
260
17
4
1
134
83
8
1
120
187
8
216
7
3
6
2
2
3
5
2
13
671
5
5
8
25
6
13
1
145
19
1
14
22
84
1278
5
136
5
1
6
69
46
143
21
68
4
1
1
1
2
671
1
8
13
69
3
58
1
347
34
123
33
1
77
171
4
13
21
22
7
8
26
9
91
9
3
87
7
19
120
5
7
21
14
3
537
15
3
188
107
108
79
1
5
52
128
115
4
378
29
1
7
245
15
11
10
1
62
1
29
27
5
5
5
16
87
94
98
1
131
54
1
1
5
51
5
5
14
131
22
12
187
84
3
5
7
210
31
1
2
3
5
18
5
1
2
79
14
49
1
37
9
37
14
8
1
16
7
6
82
671
7
12
5
173
1
70
7
2
94
1
6
1
378
40
10
122
34
69
82
11
1
1
96
55
62
2
200
3
181
1
22
77
4
147
83
6
53
3
7
8
339
2
6
9
9
12
48
20
19
6
5
3
32
22
43
4
76
1
1
5
153
31
66
5
11
12
4
15
6
96
193
11
1
2
8
32
20
1
12
109
1
9
7
10
8
4
5
55
29
5
5
4
1
6
119
5
4
5
9
24
87
47
46
21
64
31
12
2
12
5
107
1
50
7
2
8
10
5
833
50
4
20
4
3
5
10
34
108
10
10
18
37
136
14
35
31
47
60
4
99
81
166
17
1
8
5
28
272
2
5
17
5
12
143
91
1
20
10
64
42
72
709
90
41
216
100
1
14
18
11
133
1
4
5
36
345
10
11
129
147
3
920
15
5
112
36
2
9
14
67
35
4
1
179
22
8
1
101
3
4
22
31
13
4
16
79
3
1
14
2
1
2
1
29
51
6
5
22
4
2092
88
109
1
7
8
8
90
6
1
2
4
3
476
221
8
5
5
5
150
63
31
98
5
3
101
79
6
8
5
11
6
1
5
3
5
8
6
4
3
6
8
71
38
24
52
8
47
32
3
1
48
54
70
2
78
3
4
53
54
84
54
2
44
187
135
37
114
179
1550
6
83
2
1553
251
6
1
161
55
7
44
46
5
236
13
79
8
7
23
8
1
44
84
12
31
62
2
151
2
20
63
61
51
26
4
80
11
1
22
6
5
9
50
2
2
15
5
79
86
612
17
1
7
101
3
4
14
4
59
4
50
49
1
3
5
3
7
117
16
2
19
17
6
7
1
206
141
552
59
8
20
4
12
4
5
